username,clientes
http://suporteb3.com/,b3
bancobradescobeneficios.info,bradesco
http://www.counselingservice.net/,desconhecido
ifoodbrasil.digital,ifood
vinicius_agenteoriginal,banco original
fgts.bancopan.premiumpromotora.com.br,banco pan
einstein.clinicweb.hml.vitta.com.br,einstein
ana_clara_investimento_,desconhecido
pegar_emprestimos_emconta,desconhecido
https://www.instagram.com/atendimentoc6bank24h_/,c6 bank
ifoodesp,ifood
www.suporte-mercadolivre.com,mercado livre
https://www.instagram.com/c6_bank_negociacoes/,c6 bank
emprestimos_solicite_aqui,desconhecido
https://apkgk.com/pt/br.com.kopenhagen,kopenhagen
cc0027__,desconhecido
hospital._rp,sírio-libanês
avalia.ga,desconhecido
bradescoatentedimento.net2empresaportal.online,bradesco
lojasamericanasbr.com,americanas
https://www.instagram.com/ifoodpromo1/,ifood
americanascentroipa,americanas
http://www.bee-merqau.com/,desconhecido
americanas_jalessp,americanas
processamentonetempresa2br.com,bradesco
mercado_poind,desconhecido
https://www.instagram.com/suportec6bank__24h/,c6 bank
https://contasimples-digital-acesso.tk/,conta simples
https://instagram.com/ottosgspparenberg7,desconhecido
*.tlqo9wfu9qmbi9kmd057xwsl0wrevz4w.us-east-2.amazongamelift.com,desconhecido
https://www.instagram.com/emprestimofacilitadoseguro/,votorantim
americanaspromocaoloja,americanas
*.fiancabrasileira.com.br,desconhecido
reii_do_pix071,desconhecido
izaurac6,c6 bank
http://mail.sugar-raizen.com/,raizen
www.magento.banconsantander.com,santander
contaslmples.net,conta simples
bradescolivelo.gerenciachat.com,bradesco
*.appresgatebb.me,banco do brasil
*.portaldecomprasbankly.com,desconhecido
pan_solucoes_s.a,banco pan
genial_inves,banco genial
uniqueconsulty.com,desconhecido
maquininha_do_mercado_pago,mercado livre
leosilvaagente,desconhecido
https://download.cnet.com/Kop-Club-Kopenhagen-Chocolate-Clube/3000-2064_4-76672577.html,kopenhagen
jpdigitalmaisbb,banco do brasil
hml.fretebras.agxsoftware.com,fretebras
drogariaspachecopiabeta,dpsp
www.bvfinanceiraa.com,bv financeira
fameg.afya,afya
volkswagenbank.com.cn,nubank
lojavirtualamericanas.com,americanas
*.bradescoautocenter.com,bradesco
bradesco_seguros22,bradesco
creditoconsignado.cotacoes.net,desconhecido
re-financing-marketplace-bradesco.preprod.olxbr.io,bradesco
americanas_sac_oficial,americanas
caio_pan_,banco pan
bblivelomais.net,banco do brasil
aymore_financiamento_santander,santander
https://www.instagram.com/c6_bank_oficial_/,c6 bank
mercadolibrepty,mercado livre
https://instagram.com/suportec6online_,c6 bank
boletobvsolucao.com,bv financeira
bancovotoramtimemprestimos,votorantim
liviaclaudiasom,desconhecido
comsantanderbank.com,santander
*.meuconsignado.online,desconhecido
raisen.digital,raizen
americanas66.com,americanas
https://twitter.com/LailaBancointer,banco inter
*.bancobradesco-beneficios.info,bradesco
chavepix.online,desconhecido
wwws.ib8.bancobradesco.com.br.brlo.online,bradesco
www.bradescosaudeplanodesaude.com,bradesco
bradescartao.com,bradesco
atendevvvb.com,desconhecido
tiago.veiculo,desconhecido
resgatabblivelo.co,banco do brasil
https://www.instagram.com/anpor_tilho/,desconhecido
silvia_seminovos_movida_itajai,movida
http://etrade.campfiredocs-pr-1166.campfire.design/,desconhecido
https://facilitaemprestimosbrasil.com.br/,desconhecido
https://s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/valorri-uploads/bs/2021/W/i/J1tLr6RSaIDXlEjkic0A/2403-banco-original-agronegocios-balanco-1-.pdf,banco original
mercado_poind,mercado livre
www.mercadolivre44.com,mercado livre
www.oconsorciovolkswagen.com.br,banco volkswagen
*.saudebradescocotacao.com.br,bradesco
americanas-sp.xyz,americanas
lojas_americanas_0,americanas
https://www.b3.com.br/data/files/21/55/F8/B6/FCF05610BE423F46AC094EA8/Entrypoint-IP-address-list-New-DR.pdf,b3
https://linkr.bio/suportesseguros,desconhecido
https://apkcombo.com/pt/inter-global/enviouchegou.android/,banco inter
amer_castanhal2,ame digital
https://apkpure.com/comg%C3%A1s-virtual/com.comgas.virtual,comgas
pj-contasimples.one,conta simples
pay.emprestimomeliuz.online,meliuz
banco_dobrasilemprestimos,banco do brasil
minsideadmin.santanderconsumer.dk,santander
banco_de_digitau_e_original537,banco original
promocoesimperdiveisamericanas.com,americanas
https://www.tiktok.com/@c6bank55/?,c6 bank
https://www.apksum.com/app/fretebras/br.lgfelicio?q=search,fretebras
https://erdroid.com/pt/rodobens/com.rodobensapp,rodobens
http://ww1.bbseguros.com/,banco do brasil
guilda_santander_ofc,santander
bradesco-pontoslivelo.resgateslivelo.com,bradesco
https://www.apkmirror.com/apk/c6-bank/c6-bank-cartao-de-credito-conta-pf-e-mei-gratis/c6-bank-cartao-de-credito-conta-pf-e-mei-gratis-2-86-1-release/c6-bank-cartao-de-credito-conta-pf-e-mei-gratis-2-86-1-android-apk-download/,c6 bank
https://btgpactualfinances-com.tk/,btg pactual
https://www.instagram.com/3231hotmail.comgasan/,comgas
bees-brand.buzz,bees
https://www.instagram.com/c6__.saac/,c6 bank
raisenbuilds.com,raizen
www.mercadopago.mbsites.com.br,mercado livre
https://www.instagram.com/c6banksuporte282828/,c6 bank
bbmeuspontos.me,banco do brasil
negociosempresas.digital,desconhecido
https://instagram.com/cupom.ifood2020,ifood
https://www.instagram.com/c6_bank_ajudas_24h/,c6 bank
www.jibnubank.com,nubank
c6bankrewards.com,c6 bank
https://www.instagram.com/atendimentointerone/,banco inter
dispositivobradesco.me,bradesco
boletosbvfinanceira.com,bv financeira
www.bradescoempresarial.com.br,bradesco
https://www.instagram.com/palazzi_original/,banco original
www.clientebb.cartlaser.com.br,banco do brasil
https://c6consignado.net/www.c6consignado.net/index.html,c6 bank
bancoo_pann,banco pan
https://www.instagram.com/santander__suporte_sac/,santander
cpcalendars.hospitalbrasiliaback.brz.net,sírio-libanês
medcel.cesupamed,desconhecido
cingulateabstract.com,desconhecido
https://apkcombo.com/pt/agenda-credipontal/com.sicoobcredipontal.agendacredipontal/,sicoob
https://www.instagram.com/c6bank_suporte8/,c6 bank
https://matjarplay.com/en/app/com.comgas.virtual/,comgas
steffip_skinceuticals,skinceuticals
www.bb.componentejuridico.com,banco do brasil
bbpontoslivelo.online,banco do brasil
https://www.instagram.com/sac_btg/,btg pactual
https://linklist.bio/AtendimentoAmbev,ambev
directvgo,desconhecido
https://www.facebook.com/profile.php?id=100088520187480,desconhecido
https://www.instagram.com/c6bank_suporte_07/,c6 bank
https://altercred.com.br/nossa-historia,desconhecido
https://www.instagram.com/c6bank_sac_suport/,c6 bank
concursodobancodobrasil,banco do brasil
www.bradescoorl.bacfloridabank.net,bradesco
americanasapplepie.com,americanas
ofertas_mdo,desconhecido
mouradubeux_empreendimentos,grupo moura
bancobrasil_apostila,banco do brasil
anporttilho,desconhecido
hml.banco.rodobens.agxsoftware.com,rodobens
banco-next-conssultoria.com,next
americanas_largo_santa_rita772,americanas
gerentesafrapay,safra
https://instagram.com/ifood.uber77,ifood
www.bradescoseguranca.online,bradesco
atendente_virtual_wilson,desconhecido
lubricantesshellnic,shell
http://rapidoentreagoraconfiavel.com/,desconhecido
http://www.flightspot.net/,desconhecido
americanas_centro_lorena,americanas
http://www.newzealandallblacks.com/,desconhecido
lojasaamericanas.com,americanas
boletosbvveiculos.online,bv financeira
https://www.instagram.com/sac.neon.b.u/,neon
https://www.malavida.com/es/soft/shell-box/android/#gref,shell
http://webdisk.castle-lion.com/,desconhecido
suporte_tecnico_bancopan,banco pan
bradescochatne.com,bradesco
https://www.instagram.com/ifood_cupons._br/,ifood
garoauniversal,desconhecido
https://instagram.com/c6bank.suporte069,c6 bank
vectorcryptobr,vector crypto
www.bradesco.suportenetempresas.link,bradesco
https://telasafra.000webhostapp.com/safra/Banco%20Safra/index.html,safra
bradescoprime.com,bradesco
https://w3apk.com/in/conta-digital-conductor-1075468367.html,desconhecido
einsteinhospitalinc.jeeva.org,einstein
https://www.instagram.com/hospitalalberteinstein.rpg/,einstein
https://instagram.com/notopodoifood.cursex,ifood
nelogica__brasil,nelogica
www.consignadobancopan.com,banco pan
https://www.tiktok.com/@btg3.0/,btg pactual
https://www.instagram.com/ifoodbr__/,ifood
https://www.instagram.com/c6maquininhas/,c6 bank
betimseminovosmovida,movida
entreagora-simplescontaeasy.com,conta simples
bradesco-atendimentosac.centralus.cloudapp.azure.com,bradesco
www.cartaoneon.com,neon
20109560587,desconhecido
https://www.instagram.com/anportilho_4/,desconhecido
bradesco.modulo-user.com,bradesco
quinto_andarr_,quinto andar
veiculoassianturamovida,movida
exoticos__mercadolibre,mercado livre
mercadolivrecabofrio,mercado livre
c6bankvilma,c6 bank
https://safra.legalops.digesto.com.br/,safra
contrate_emprestimos_emconta,desconhecido
seguaocliente.com,desconhecido
https://www.instagram.com/c6bank.__/,c6 bank
https://bemvindo-empracessagorarapido.com/,desconhecido
https://www.instagram.com/comgasadc/,comgas
*.bradesco-log-acess.online,bradesco
https://www.tiktok.com/@edivaldo.c6bank/,c6 bank
bradesco.atendimento.validarcadastros.com,bradesco
app_americanas_,americanas
https://consultoria2023gs.com.br/,desconhecido
bancovolkswagen.net,banco volkswagen
esferacomvc.com,desconhecido
isabellerevendedora,desconhecido
aplicativo.bradesco-celular.com,bradesco
https://www.instagram.com/c6.bank_oficial/,c6 bank
server1.bradescosmiles.com,bradesco
https://resalicastrobancooriginal.com/,banco original
bradesco.bradescochat.com,bradesco
probrasilmaisbb,banco do brasil
banco-btgpactual.com,btg pactual
https://www.instagram.com/renataschoedler/,desconhecido
netempresaon-001.com,bradesco
consignado.rochacredito.com.br,desconhecido
https://www.instagram.com/saque.do.fgts/,c6 bank
bancosantanderfinanciamento,santander
edenredbrasil,desconhecido
ouro.cetip.cashway.io,b3
https://www.instagram.com/solucaobrc6bank/,c6 bank
suporte__americanas24h,americanas
http://jobhome112.pages.dev/,desconhecido
cpcalendars.rubinegocios.com.br,desconhecido
afalmeida,desconhecido
https://www.instagram.com/simone_reis_originalbank/,banco original
*.amedigital.teleport.sh,ame digital
assistentebancointer_,banco inter
vivara-loja-shopping.com,vivara
http://e438833ce24a0732fd3078a41ca063c110b7.id.ui.direct/,desconhecido
https://www.instagram.com/c6bank_supoortte1/,c6 bank
connectbradesco.com,bradesco
https://www.instagram.com/c6bank_suporte0093/,c6 bank
arenapetrobras.com,petrobras
cupom_appl514,desconhecido
daniella_silvaagente,desconhecido
https://www.instagram.com/cupomdeifoodgratis/,ifood
https://www.instagram.com/adri_gusmaes/,desconhecido
copeltelecomconsultoria,copel
https://www.instagram.com/consultora_c6/,c6 bank
bradesco.12netempresa.net,bradesco
ativa_castelo,desconhecido
api.clientesappbradesco.com,bradesco
atendimento_banco_original182,banco original
btgoactual.com,btg pactual
https://www.instagram.com/eduarda_mota.gerente/,desconhecido
https://www.instagram.com/bancoc6bank/,c6 bank
segurosbradescosaude.net.br.allcross.net,bradesco
pontolivelodesco.com,livelo
nubankr.com,nubank
cieloexecutivogyn,cielo
minhalivelo.me,livelo
lendicoemprestimos,desconhecido
quintoandarcorretor.com.br,quinto andar
dbfcheckers.tech,desconhecido
bancopan.black,banco pan
carlos_suport_,desconhecido
https://github.com/ViihNeris/avanade-c6ank/blob/0db07311767b373d04d853896d0a597fa91eb404/README.md,c6 bank
fazer.emprestimos,desconhecido
https://www.instagram.com/sac.neon.sc/,neon
https://atendimentohome.taplink.ws/,desconhecido
banc6in.webnode.com,c6 bank
americanaslojaonline.com,americanas
bradescoresgate.gerentechat.com,bradesco
drogariasaopaulo_cidadesumare,dpsp
*.americanasvendas.com,americanas
*.brdesconetempresasdigital2.top,bradesco
*.bradescosaude.kubbo.com.br,bradesco
https://conta-simplis.com/conectar/account/,conta simples
http://transrio.enken.cloud/,desconhecido
club15-bradescoelivelo.brazilsouth.cloudapp.azure.com,bradesco
https://www.instagram.com/c6ban_c/,c6 bank
c6bankk6,c6 bank
nubank_pix171,nubank
www.cupomifood.com.br,ifood
consorcios_bbrasil,banco do brasil
banco_c6_atendimento_online,c6 bank
kopenhagen_shopp_interlagos,kopenhagen
https://matjarplay.com/en/app/com.dpagliotto.gimb.araraquara/,desconhecido
conta_santander_getnet,santander
payments-management.sandbox.bradesco.app-terosopenbanking.com,bradesco
medcel.unp,desconhecido
dataprevista.online,desconhecido
https://emprestimoo.online/,desconhecido
https://apkfun.com/down_Banco-Intermedium.16124946.html,banco inter
maisbbgs,banco do brasil
https://www.instagram.com/bvfinanceira_bv/,bv financeira
https://instagram.com/_marcelo.flora?igshid=ZDg1NjBiNjg=,desconhecido
__quinto____andar_,quinto andar
tomacupom609,desconhecido
bancodo_.brasil,banco do brasil
contasimples-com.tk,conta simples
https://www.facebook.com/Cupom-de-desconto-ifood-108705307507621/,ifood
https://apkdownload.com/down_Meliuz-Cashback-Cartao-de-Credito-e-Cupons/br.com.meliuz.34407593.htmleliuz-Cupons-e-cashback/br.com.meliuz.24086039.html,meliuz
http://folha-de-saopaulo.com/,desconhecido
santanderan.com,santander
dra.sinareis.oficial,desconhecido
https://instagram.com/ifood_50off,ifood
so_ofertas_afiliado_americanas,americanas
https://www.instagram.com/bianca__.fernandes__/,desconhecido
kopenhagen.damha,kopenhagen
https://sites.google.com/view/frete-online/p%C3%A1gina-inicial,desconhecido
https://leiloesveiculorodobens.com/lote/VOLKSWAGEN-TIGUAN-2.0-350-TSI-ALLSPACE,rodobens
petrobras.zt,petrobras
amedigitalpromoapp,ame digital
nubank_ivestimentos,nubank
https://reclameaquic6consig.webnode.com/,c6 bank
petrobras_oficial,petrobras
belazupan,banco pan
mercado.pago_suportebr,mercado livre
guilda_santander_ofc,santander
*.bblivelo.pro,banco do brasil
https://www.tiktok.com/@c6bank198/,c6 bank
www.meliuzcupom.com,meliuz
https://twitter.com/Banco_BRB,brb
clientebb.farmaciaativa.com.br,banco do brasil
consorciosrodobens.com,rodobens
https://arkapk.com/bg/app/br.com.carson.android.bitz,desconhecido
assessoriabx.com,desconhecido
bv.bancofinanceira,bv financeira
http://sbz3uygdjxprsbx.centraluseuap.atlas.cloudapp.azure.com/,desconhecido
bancodobrasil.men,banco do brasil
https://www.instagram.com/timeneon__brasil/,neon
bradesco-digital.com,bradesco
autodiscover.assessoriahtp.com,desconhecido
saculna,desconhecido
*.assessoriaibvfinanceira.com,bv financeira
americanasmercadohelp.zendesk.com,americanas
ib12.appbancobradesco.click,bradesco
vector__crypto,vector crypto
nubanks.net,nubank
*.movida.direct.quickconnect.to,movida
c6bank4919,c6 bank
https://www.instagram.com/c6.consig/,c6 bank
filomena.nina49,desconhecido
*.santanderrenegociacao.com,santander
https://www.instagram.com/suportec6bank__/,c6 bank
https://instagram.com/cupons_ifood_,ifood
pixnubank2023,nubank
roxinhocredito.com,desconhecido
www.fundao-bradesco.airbagjump.com.br,bradesco
bradescoexpressojbtecidos,bradesco
emprestimosmaisbbhtl,banco do brasil
contasimples-login-br.cf,conta simples
suportetereza,desconhecido
brasilcacauchilet.srf.ch,brasil cacau
stack-spot,desconhecido
nubankfake6,nubank
http://www.socialinvestplus.marinemarchanserver.vitotamarketing.com/,desconhecido
44856386578,desconhecido
jusbrasil31,jusbrasil
https://www.instagram.com/c6_bank.clientes/,c6 bank
http://www.instagram.com/simone_reis_original_company,banco original
www.santander.protense.com.br,santander
enganadospelaviajanet,viajanet
https://www.instagram.com/lucasccostaat,desconhecido
bradescoapp.net,bradesco
https://www.instagram.com/pactualgestaofinanceira/,btg pactual
contasimples-cliente-net.tk,conta simples
solicitaremprestimos.com.br,desconhecido
raisenetwork.net,raizen
suporte_bancopan00252629,banco pan
MarcosCoelhoo,desconhecido
distribuidor_mercado_pago,mercado livre
https://www.apkmirror.com/apk/banco-do-brasil-sa/banco-do-brasil/banco-do-brasil-8-17-0-12-release/banco-do-brasil-8-17-0-12-2-android-apk-download/,banco do brasil
https://apkpanda.com/ru/br.org.hospitalsiriolibanes.adma,sírio-libanês
www.raizen-sa.br.com,raizen
mercadolivre_paris,mercado livre
santander.dk,santander
https://www.facebook.com/ifood.ifood.54390,ifood
santander-live.com,santander
https://acessoportalcliente.com/?gclid=EAIaIQobChMItMulhJbW_AIV6oNaBR05DQRsEAMYAiAAEgKqTfD_BwE,desconhecido
www.mercadolivre.areiatratada.com.br,mercado livre
www.conta-simplesweb.ml,conta simples
https://www.instagram.com/centralc6bank_24honline/,c6 bank
https://www.instagram.com/atendentekamilac6/,c6 bank
http://web.campfiredocs-pr-1166.campfire.design/,desconhecido
alinne.bancobb,banco do brasil
*.booluw.me,desconhecido
livelo-bradescoibpfa.dynv6.net,bradesco
vitacocohk,vitacoco
fiananciamentosafra.com,safra
https://www.instagram.com/kadu_baracho/,desconhecido
mail.bancosantanderconsig.com.br,santander
quintoandar____,quinto andar
www.mercadopagosuporte.info,mercado livre
banco_panamericano_,banco pan
https://web.ifoods.ro/,ifood
leiloesbvtratores.com,bv financeira
gpsolucoesfinanceiras,bv financeira
*.bancopan.net,banco pan
https://instagram.com/c6bankk_1,c6 bank
genial_empresa_operacional,banco genial
https://www.instagram.com/consorciovolkswagende/,banco volkswagen
chaseloaders.llc,desconhecido
lojaamericanasgravata,americanas
*.siteamericanas.com,americanas
api.rodobens.creditor.cloud,rodobens
https://instagram.com/ifood.cupoms,ifood
recompensaslivelobb.eisrangpur.com,banco do brasil
www.financiamentosafra.com.br,safra
marcio.waluce.bb,banco do brasil
oficial_genialinvestimento,banco genial
banco_originalrepre,banco original
https://www.instagram.com/consultor.c6_bank/,c6 bank
atualizaoonlinelive.info,desconhecido
paulo.tarso_5andar,quinto andar
https://www.instagram.com/neon_ajudas24horas_/,neon
https://www.facebook.com/bvfisicajuridica,bv financeira
https://www.instagram.com/suporteifoodbrasil2022/,ifood
https://c6bank1.page.link/H84n,c6 bank
bank_bb_suporte_,banco do brasil
bradescosaude.site,bradesco
ww1.fundacaobradesco.com,bradesco
faturaesfera.net,desconhecido
www.raizen.kvp.lean4ponto0.com.br,raizen
bradescocorretor,bradesco
www.bradesco.consorcio.imb.br,bradesco
cred.emprestimos_,desconhecido
lojasamericanasbr.com,americanas
suporte_bancopan00564,banco pan
pegar.emprestimos.facilitado,desconhecido
bradescoprime-clientesac.info.gf,bradesco
http://be-tlis-ok.live/,desconhecido
mercadopago_ajj,mercado livre
ww25.santandercarfinance.com,santander
http://superblends.uk/,desconhecido
suporte_bancopan00263800,banco pan
https://www.instagram.com/ifooddelivery2019/,ifood
kopenhagen_bahia,kopenhagen
confirm-device-logonsantander.com,santander
https://instagram.com/codigodedescontoifoodbr,ifood
sup-bancosantander-es.com,santander
daniel_gerente2023,desconhecido
http://www.yourcherishedhomes.com/,desconhecido
http://www.993110.duckdns.org/,desconhecido
c6bank_melissamonteiro,c6 bank
*.facialnubank.com,nubank
https://www.instagram.com/c6banksuporte10202/,c6 bank
c6bank.artemismachinery.ir,c6 bank
americanasri.app,americanas
genial_empresa_investimentos,banco genial
marketingbtg.com,btg pactual
http://cpcontacts.kzapad.mbsrv.net/,desconhecido
mercadolivrebarreirasba,mercado livre
https://www.instagram.com/kalid772394927/,desconhecido
belazupka,zup
leonardo.bv.financeira,bv financeira
einstein.teste123.com.br,einstein
https://www.instagram.com/camilabertolocampos/,desconhecido
santander-verify-new-payee.com,santander
https://twitter.com/BancoInterHill1,banco inter
facialnubank.me,nubank
leonardosilva.bvfinanceira,bv financeira
bradesco.via2.com.br,bradesco
leilaobradesco.com.br,bradesco
*.americanasvendas.com,americanas
comprocontasifoodubereats,ifood
lojahelpnovogama,desconhecido
https://cia-digitalcred.online/,desconhecido
https://www.instagram.com/claudia_orig_/,banco original
www.bradesco300pax.aprovar.site,bradesco
www-americanas.com,americanas
*.presentedawill.com,will bank
kopenhagen_hortolandia,kopenhagen
marcelo_forttunato7,desconhecido
bradescoresgate.gerentechat.com,bradesco
joaolope.bradesco,bradesco
renata_emprestimoss,desconhecido
santander.oficial.pj,santander
*.app-bancosantander.gq,santander
americanass_av.emilio_ribas,americanas
http://fgts.bancosafra.triunfogold.com.br/,safra
*.americanasemanasconsumidor.com,americanas
americanas_camposdojordao,americanas
americanassasao,americanas
*.banklyday.com.br,desconhecido
ottogsparenberg._,desconhecido
https://instagram.com/baterias_moura_1,grupo moura
dayenebradesco,bradesco
nubank_avkn,nubank
abreconta.com,desconhecido
https://github.com/ronny7575/atualiza-o-nova-/blob/edf5f6d9f901511edeb925f62d84589f81634f78/Atualiza%C3%A7%C3%A3o%20config,c6 bank
maisbbgs,banco do brasil
americanasbest,americanas
https://www.contatovolks.com/﻿,banco volkswagen
https://www.instagram.com/elisangela029_92/?igshid=NmNmNjAwNzg%3D,desconhecido
www.secretemprestimos.com,desconhecido
bancobradescopj.com,bradesco
www.grupofibracred.com,banco fibra
www.bradesco.ativacaopj.online,bradesco
corresp.bb,banco do brasil
www.santander-anmeldung.de.chhaviindia.com,santander
www.ifoodplus.com,ifood
https://www.instagram.com/btgpactual2022/,btg pactual
http://tinder8.com/,desconhecido
liderancamaisbb_,banco do brasil
https://www.instagram.com/matheus_c6bank,c6 bank
mercadolivreoficial.com.br,mercado livre
https://www.facebook.com/bovespacuck,b3
*.consorciosantanderdigital.com.br,santander
americanasadvertising.com,americanas
https://safra-quitacoes.webnode.page/,safra
quintoandar_sancorretor,quinto andar
rmartins.agenteoriginal,banco original
emprestimofgts.com.br,c6 bank
https://www.apkmonk.com/app/br.acesso.acessomobile/,desconhecido
https://www.instagram.com/c6bank.suporte09983/,c6 bank
https://www.instagram.com/martasuzuki.original/,banco original
uol.saudesexual.org,desconhecido
*.empresa-bancosantander.com,santander
bradesco-log.online,bradesco
www.nubank-account.com,nubank
camila_seixas_bancopan,banco pan
bradescosucks.com,bradesco
banconubank.com.br,nubank
www.adiantaparcela.com.br,desconhecido
acessoclientenovoblack.com,desconhecido
jessica_americanasdelivery,americanas
ubereatsifood062,ifood
produtosvarejoamericanas.online,americanas
agente_original_ig,banco original
capaciob,desconhecido
